ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo
2004;8;ES;Resid;818525;95209.4
2004;8;RJ;Resid;5009782;726722.6
2004;8;SP;Resid;11734413;2074704.6
2004;8;PR;Resid;2550243;379364
2004;8;SC;Resid;1519195;258288.4
2004;8;RS;Resid;2786446;432540
2004;8;MS;Resid;547866;78390.7
2004;8;MT;Resid;590745;88842
2004;8;GO;Resid;1557584;192073
2004;8;DF;Resid;597890;119886
2004;9;RO;Resid;262271;42564
2004;9;AC;Resid;107386;15749.9
2004;9;AM;Resid;490872;86118
2004;9;RR;Resid;67387;14174.9
2004;9;PA;Resid;1097924;141929.9
2004;9;AP;Resid;104767;20994
2004;9;TO;Resid;241912;29928.6
2004;9;MA;Resid;999718;91370
2004;9;PI;Resid;593168;54549
2004;9;CE;Resid;1858517;174620.1
2004;9;RN;Resid;719842;71250.2
2004;9;PB;Resid;835984;71382.8
2004;9;AL;Resid;586651;51308
2004;9;SE;Resid;469495;41059.6
2004;9;BA;Resid;3118503;261494.5
2004;9;MG;Resid;5130280;595065.2
2004;9;ES;Resid;817388;101358.2
2004;9;RJ;Resid;5019550;777210.2
2004;9;SP;Resid;11752856;2122526.6
2004;9;PR;Resid;2558962;393932
2004;9;SC;Resid;1523474;268234.1
2004;9;RS;Resid;2789967;438391.2
2004;9;MS;Resid;550265;77924.9
2004;9;MT;Resid;595390;103861
2004;9;GO;Resid;1561900;209570
2004;9;DF;Resid;599813;123615
2004;10;RO;Resid;264475;45081
2004;10;AC;Resid;107835;16636.9
2004;10;AM;Resid;492352;82395.7
2004;10;RR;Resid;67822;15158.6
2004;10;PA;Resid;1102962;142047.3
2004;10;AP;Resid;105435;22521
2004;10;TO;Resid;242917;29366
2004;10;MA;Resid;1001404;89662.7
2004;10;PI;Resid;595191;55990
2004;10;CE;Resid;1863266;173293.4
2004;10;RN;Resid;722965;73392.1
2004;10;PB;Resid;838592;73990.8
2004;10;AL;Resid;588812;51757
2004;10;SE;Resid;471659;43729.3
2004;10;BA;Resid;3129448;271886.1
2004;10;MG;Resid;5138836;593151.8
2004;10;ES;Resid;817266;104701.7
2004;10;RJ;Resid;5032035;792953.5
2004;10;SP;Resid;11993077;2117323.1
2004;10;PR;Resid;2565029;383664.7
2004;10;SC;Resid;1528230;259657.8
2004;10;RS;Resid;2794987;426155.9
2004;10;MS;Resid;555121;83934.7
2004;10;MT;Resid;597272;110987.4
2004;10;GO;Resid;1565770;209412
2004;10;DF;Resid;602261;125116
2004;11;RO;Resid;267015;44687
2004;11;AC;Resid;108454;16815.6
2004;11;AM;Resid;493682;86089.2
2004;11;RR;Resid;68052;15655.6
2004;11;PA;Resid;1111748;149190.2
2004;11;AP;Resid;105581;22269
2004;11;TO;Resid;243386;27572.8
2004;11;MA;Resid;1003746;89720.7
2004;11;PI;Resid;598286;58308
2004;11;CE;Resid;1866576;174671
2004;11;RN;Resid;727110;77686.3
2004;11;PB;Resid;840500;72830.8
2004;11;AL;Resid;592035;52364
2004;11;SE;Resid;473252;45402.3
2004;11;BA;Resid;3141203;285609.4
2004;11;MG;Resid;5143523;570184.6
2004;11;ES;Resid;817537;107156.7
2004;11;RJ;Resid;5048674;823408.2
2004;11;SP;Resid;11812929;2107765.4
2004;11;PR;Resid;2572533;384057.2
2004;11;SC;Resid;1532409;257362.9
2004;11;RS;Resid;2800166;430069.8
2004;11;MS;Resid;555257;83256.4
2004;11;MT;Resid;602192;110771
2004;11;GO;Resid;1574138;194999
2004;11;DF;Resid;603666;116668
2004;12;RO;Resid;264157;42843
2004;12;AC;Resid;108422;16169.2
2004;12;AM;Resid;493005;83190.8
2004;12;RR;Resid;68561;15434.3
2004;12;PA;Resid;1119047;148314.5
2004;12;AP;Resid;106378;22649
2004;12;TO;Resid;244865;27292.8
2004;12;MA;Resid;1005470;88175
2004;12;PI;Resid;601087;54329
2004;12;CE;Resid;1871241;177340.5
2004;12;RN;Resid;730901;81553.7
2004;12;PB;Resid;844019;73885.8
2004;12;AL;Resid;595061;56152
2004;12;SE;Resid;485582;47528.9
2004;12;BA;Resid;3143083;284402.5
2004;12;MG;Resid;5144505;568840.4
2004;12;ES;Resid;819940;105104.4
2004;12;RJ;Resid;5063105;854632.8
2004;12;SP;Resid;11829626;2040860.4
2004;12;PR;Resid;2578213;382298.4
2004;12;SC;Resid;1538039;265283.7
2004;12;RS;Resid;2806644;452985.1
2004;12;MS;Resid;559623;86426.7
2004;12;MT;Resid;604644;110137.6
2004;12;GO;Resid;1574138;194804
2004;12;DF;Resid;609033;121884
2005;1;RO;Resid;269712;42228
2005;1;AC;Resid;109251;16837.8
2005;1;AM;Resid;496016;83500.3
2005;1;RR;Resid;68814;15679.4
2005;1;PA;Resid;1126781;148186.8
2005;1;AP;Resid;106378;22649
2005;1;TO;Resid;245811;26878.3
2005;1;MA;Resid;1011366;94731.8
2005;1;PI;Resid;604772;57733
2005;1;CE;Resid;1878693;185504.6
2005;1;RN;Resid;735608;82107
2005;1;PB;Resid;846008;79106.9
2005;1;AL;Resid;599726;60311.8
2005;1;SE;Resid;477783;46413.5
2005;1;BA;Resid;3164536;308754
2005;1;MG;Resid;5163464;611356.3
2005;1;ES;Resid;823201;125183.7
2005;1;RJ;Resid;5303758;951342.6
2005;1;SP;Resid;11884715;2186011.6
2005;1;PR;Resid;2587074;405965
2005;1;SC;Resid;1543627;297357.3
2005;1;RS;Resid;2839275;491393.5
2005;1;MS;Resid;559184;87887.2
2005;1;MT;Resid;609211;106210.9
2005;1;GO;Resid;1579107;207689.8
2005;1;DF;Resid;611909;125206
2005;2;RO;Resid;267794;42059
