ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo
2005;8;RJ;Total;;2593486.4
2005;8;SP;Total;;8689295.1
2005;8;PR;Total;;1696737.6
2005;8;SC;Total;;1256271.6
2005;8;RS;Total;;1790649.8
2005;8;MS;Total;;260890.6
2005;8;MT;Total;;362958.1
2005;8;GO;Total;;752015.6
2005;8;DF;Total;;341207
2005;9;RO;Total;;122495
2005;9;AC;Total;;39859.9
2005;9;AM;Total;;338804.2
2005;9;RR;Total;;32703.1
2005;9;PA;Total;;1080809.6
2005;9;AP;Total;;51104.5
2005;9;TO;Total;;86384.5
2005;9;MA;Total;;769461.9
2005;9;PI;Total;;143183
2005;9;CE;Total;;578428.8
2005;9;RN;Total;;295852.4
2005;9;PB;Total;;258094.2
2005;9;PE;Total;;696510.6
2005;9;AL;Total;;307224.1
2005;9;SE;Total;;209592.6
2005;9;BA;Total;;1505433.4
2005;9;MG;Total;;4037669.6
2005;9;ES;Total;;645068.8
2005;9;RJ;Total;;2780128
2005;9;SP;Total;;8929122.4
2005;9;PR;Total;;1702889.1
2005;9;SC;Total;;1220737.6
2005;9;RS;Total;;1730504.6
2005;9;MS;Total;;273154
2005;9;MT;Total;;381699.6
2005;9;GO;Total;;764605.8
2005;9;DF;Total;;353607
2005;10;RO;Total;;124693
2005;10;AC;Total;;41717.2
2005;10;AM;Total;;332436.2
2005;10;RR;Total;;32953.5
2005;10;PA;Total;;1131542.9
2005;10;AP;Total;;50480.5
2005;10;TO;Total;;82355.1
2005;10;MA;Total;;792654.9
2005;10;PI;Total;;148761
2005;10;CE;Total;;595935.9
2005;10;RN;Total;;302204.8
2005;10;PB;Total;;266631.9
2005;10;PE;Total;;724671.8
2005;10;AL;Total;;275948
2005;10;SE;Total;;222470.5
2005;10;BA;Total;;1520260.4
2005;10;MG;Total;;3843654.2
2005;10;ES;Total;;652504.3
2005;10;RJ;Total;;2637308.5
2005;10;SP;Total;;8941381.6
2005;10;PR;Total;;1702747.9
2005;10;SC;Total;;1244189.4
2005;10;RS;Total;;1721825.1
2005;10;MS;Total;;270466
2005;10;MT;Total;;364609.8
2005;10;GO;Total;;752864.8
2005;10;DF;Total;;368043
2005;11;RO;Total;;127387
2005;11;AC;Total;;42666.8
2005;11;AM;Total;;334370.9
2005;11;RR;Total;;36234.6
2005;11;PA;Total;;1118779.8
2005;11;AP;Total;;48561.8
2005;11;TO;Total;;79685.8
2005;11;MA;Total;;785051.4
2005;11;PI;Total;;149440
2005;11;CE;Total;;598470.5
2005;11;RN;Total;;311057
2005;11;PB;Total;;273756
2005;11;PE;Total;;735154.1
2005;11;AL;Total;;327416
2005;11;SE;Total;;226572.4
2005;11;BA;Total;;1512473.6
2005;11;MG;Total;;3891791.3
2005;11;ES;Total;;641410.8
2005;11;RJ;Total;;2714012.3
2005;11;SP;Total;;8842228.5
2005;11;PR;Total;;1735832.7
2005;11;SC;Total;;1246288.1
2005;11;RS;Total;;1766221.6
2005;11;MS;Total;;278946.4
2005;11;MT;Total;;359360.4
2005;11;GO;Total;;742612.4
2005;11;DF;Total;;361834.8
2005;12;RO;Total;;128797
2005;12;AC;Total;;41224.3
2005;12;AM;Total;;315160.3
2005;12;RR;Total;;31643.8
2005;12;PA;Total;;1130731.7
2005;12;AP;Total;;50835.4
2005;12;TO;Total;;75875.9
2005;12;MA;Total;;859749.9
2005;12;PI;Total;;144734
2005;12;CE;Total;;595021.4
2005;12;RN;Total;;328161.2
2005;12;PB;Total;;267609.3
2005;12;PE;Total;;743785
2005;12;AL;Total;;314279
2005;12;SE;Total;;225130.4
2005;12;BA;Total;;1526993.7
2005;12;MG;Total;;3887556.1
